SubjectID,ObjectID,PresOrder,GazeBlock,TotalBlockDur,FixCount,MeanFixDur
tulip015,floppy disk,9,2,9305.166592,22,312.363636363636
tulip015,stethoscope,10,1,10456.333312,27,278.703703703704
tulip015,stethoscope,10,2,11991.211008,29,296.620689655172
tulip015,pocket radio,11,1,18130.688768,44,286.681818181818
tulip015,pocket radio,11,2,9017.377792,21,272.238095238095
tulip015,shoe horn,12,1,9305.177856,19,370.421052631579
tulip015,shoe horn,12,2,8441.799936,19,342.263157894737
tulip016,bulb planter,1,1,43935.766528,107,282.364485981308
tulip016,bulb planter,1,2,51801.988864,149,246.03355704698
tulip016,pocket radio,2,1,60000,119,431.873949579832
tulip016,pocket radio,2,2,40578.233344,96,302.229166666667
tulip016,hand mixer,3,1,49979.344384,131,273.549618320611
tulip016,hand mixer,3,2,40098.577664,100,255.01
tulip016,rolodex,4,1,41249.744384,114,280.210526315789
tulip016,rolodex,4,2,14773.166592,46,237.391304347826
tulip016,three hole punch,5,1,56310.689024,148,283.97972972973
tulip016,three hole punch,5,2,6235.422208,17,270.058823529412
tulip016,fishing reel,6,1,60000,156,302.51282051282
tulip016,fishing reel,6,2,35685.822208,97,275.40206185567
tulip017,three hole punch,1,1,11511.555584,23,365.434782608696
tulip017,french press,2,1,48732.244224,110,364.872727272727
tulip017,french press,2,2,27627.733248,75,290.826666666667
tulip017,rolodex,3,1,43552.055296,116,274.758620689655
tulip017,rolodex,3,2,22831.255552,55,336.909090909091
tulip017,crank flashlight,4,1,49787.47776,130,304.661538461538
tulip017,crank flashlight,4,2,15444.666624,36,353.666666666667
tulip017,hand mixer,5,1,19281.855488,54,238.074074074074
tulip017,hand mixer,5,2,11895.277824,33,279.484848484848
tulip017,pocket radio,6,1,19857.433344,48,326.729166666667
tulip017,pocket radio,6,2,11799.34464,24,345.708333333333
tulip017,blood pressure cuff,7,1,53240.944384,111,404.459459459459
tulip017,blood pressure cuff,7,2,10264.466688,20,454.55
tulip017,stethoscope,8,1,39906.733312,85,391.917647058824
tulip017,stethoscope,8,2,10648.188928,20,426.8
tulip017,floppy disk,9,1,24845.77792,50,363.64
tulip017,floppy disk,9,2,7194.722048,15,362.533333333333
tulip017,bulb planter,10,1,47293.300224,130,251.146153846154
tulip017,bulb planter,10,2,6810.999808,15,414.6
tulip017,shoe horn,11,1,7098.800128,23,219.652173913043
tulip017,shoe horn,11,2,17363.255552,48,258.75
tulip018,rolodex,1,1,19395.122176,51,294.450980392157
tulip018,rolodex,1,2,9702.633216,25,320.56
tulip018,shoe horn,2,1,11409.166592,32,260.6875
tulip018,shoe horn,2,2,13063.710976,32,311.6875
tulip018,hand mixer,3,1,14090.322176,32,349.90625
tulip018,hand mixer,3,2,16657.377792,43,297.558139534884
tulip018,floppy disk,4,1,11180.988928,27,342.444444444444
tulip018,floppy disk,4,2,22590.144256,40,468.85
tulip018,bulb planter,5,1,25556.533248,74,268.418918918919
tulip018,bulb planter,5,2,12664.166656,37,263.27027027027
tulip018,crank flashlight,6,1,29834.977792,64,376.984375
tulip018,crank flashlight,6,2,39989.133312,99,325.434343434343
tulip018,stethoscope,7,1,21563.322368,56,308.982142857143
tulip018,stethoscope,7,2,20422.411008,49,334.775510204082
tulip018,french press,8,1,27381.999872,66,333.575757575758
tulip018,french press,8,2,21106.95552,44,389.045454545455
tulip018,fishing reel,9,1,48603.055616,111,358
tulip018,fishing reel,9,2,20080.13312,46,359.630434782609
tulip018,three hole punch,10,1,11123.93344,23,407.304347826087
tulip018,three hole punch,10,2,19281.499904,41,383.292682926829
tulip018,pocket radio,11,1,16429.200128,37,368.837837837838
tulip018,pocket radio,11,2,37422.066688,78,353.948717948718
tulip018,blood pressure cuff,12,1,60000,156,279.916666666667
tulip019,floppy disk,1,1,19052.855552,39,380.641025641026
tulip019,floppy disk,1,2,11295.066624,26,348.769230769231
tulip019,rolodex,2,1,21449.2224,48,371.604166666667
tulip019,rolodex,2,2,17855.333376,43,348.209302325581
tulip019,blood pressure cuff,3,1,29834.977792,78,315.769230769231
tulip019,blood pressure cuff,3,2,23616.97792,65,293.738461538462
tulip019,shoe horn,4,1,17513.066752,40,360.95
tulip019,shoe horn,4,2,13462.811136,30,379.366666666667
tulip019,pocket radio,5,1,24700.844288,64,314.125
tulip019,pocket radio,5,2,16657.377792,46,307.978260869565
tulip019,bulb planter,6,1,27724.27776,81,278.259259259259
tulip019,bulb planter,6,2,10781.655552,32,268.5625
tulip019,hand mixer,7,1,21392.188928,55,321.218181818182
tulip019,hand mixer,7,2,11466.211072,29,293.034482758621
tulip019,crank flashlight,8,1,26526.310912,60,384.55
tulip019,crank flashlight,8,2,10211.2,24,351.875
tulip019,fishing reel,9,1,16942.6112,44,303.340909090909
tulip019,fishing reel,9,2,7929.366784,15,456.333333333333
tulip019,stethoscope,10,1,15459.422208,39,308.153846153846
tulip019,stethoscope,10,2,8556.877824,24,275.791666666667
tulip019,french press,11,1,15915.789056,45,274.777777777778
tulip019,french press,11,2,8499.833344,20,337.4
tulip019,three hole punch,12,1,15117.155328,40,312.625
tulip019,three hole punch,12,2,7073.689088,22,243.636363636364
tulip020,rolodex,1,1,60000,106,531.084905660377
tulip020,rolodex,1,2,15801.677824,27,451.481481481481
tulip020,shoe horn,2,1,11694.4,23,409.608695652174
tulip020,shoe horn,2,2,6446.177792,8,542.875
tulip020,hand mixer,3,1,22019.688704,48,407.833333333333
tulip020,hand mixer,3,2,11580.31104,25,413.76
tulip020,floppy disk,4,1,60000,115,471.791304347826
tulip020,floppy disk,4,2,19851.944448,32,559.8125
tulip020,bulb planter,5,1,49515.800064,120,351.241666666667
tulip020,bulb planter,5,2,5362.310912,12,386.5
tulip020,crank flashlight,6,1,48260.777984,72,595.777777777778
tulip020,crank flashlight,6,2,13519.866624,12,892.833333333333
tulip020,stethoscope,7,1,28294.744576,58,434.603448275862
tulip020,stethoscope,7,2,6503.222272,15,335.133333333333
tulip020,french press,8,1,44552.8,102,384.647058823529
tulip020,french press,8,2,26982.689024,60,400.483333333333
tulip020,fishing reel,9,1,60000,113,488.592920353982
tulip020,fishing reel,9,2,23331.75552,35,626.114285714286
tulip020,three hole punch,10,1,13576.911104,26,474.692307692308
tulip020,three hole punch,10,2,13633.955328,32,369.8125
tulip020,pocket radio,11,1,41244.14464,98,367.469387755102
tulip020,pocket radio,11,2,9925.977856,15,571.333333333333
tulip020,blood pressure cuff,12,1,60000,131,409.618320610687
tulip020,blood pressure cuff,12,2,12150.766848,29,361.862068965517
tulip021,pocket radio,1,1,23337.110784,64,278.6875
tulip021,pocket radio,1,2,16806.555648,50,271.9
tulip021,fishing reel,2,1,24105.399808,77,218.818181818182
tulip021,fishing reel,2,2,16326.36672,53,218.433962264151
tulip021,crank flashlight,3,1,14117.499904,44,211.886363636364
tulip021,crank flashlight,3,2,11140.34432,27,284.185185185185
tulip021,french press,4,1,10372.044544,35,217.485714285714
tulip021,french press,4,2,7010.733312,20,279.85
tulip021,three hole punch,5,1,14885.799936,41,261.121951219512
tulip021,three hole punch,5,2,8067.144448,25,255.48
tulip021,floppy disk,6,1,19207.489024,52,292.346153846154
tulip021,floppy disk,6,2,16614.477824,48,268.958333333333
tulip021,shoe horn,7,1,12004.688896,36,262.472222222222
tulip021,shoe horn,7,2,7875.077632,19,319.052631578947
tulip021,hand mixer,8,1,11908.644352,39,202.615384615385
tulip021,hand mixer,8,2,8451.288832,21,299.380952380952
tulip021,rolodex,9,1,23721.255424,72,248.125
tulip021,rolodex,9,2,7202.811136,20,277.1
tulip021,blood pressure cuff,10,1,10852.233472,33,242.212121212121
tulip021,blood pressure cuff,10,2,7394.88896,23,227
tulip021,stethoscope,11,1,13445.244416,32,314.8125
tulip021,stethoscope,11,2,11908.644352,39,225.948717948718
tulip021,bulb planter,12,1,14885.799936,45,219.155555555556
tulip021,bulb planter,12,2,9603.744256,30,236.766666666667
tulip022,bulb planter,1,1,10372.044544,32,260.65625
tulip022,bulb planter,1,2,7106.777856,15,407.266666666667
tulip022,pocket radio,2,1,13829.3888,26,448.615384615385
tulip022,pocket radio,2,2,11620.533248,23,444.478260869565
tulip022,hand mixer,3,1,8931.489024,21,363.238095238095
tulip022,hand mixer,3,2,13253.166592,29,395.551724137931
tulip022,rolodex,4,1,9987.888896,25,289.84
tulip022,rolodex,4,2,7490.92224,14,470.571428571429
tulip022,three hole punch,5,1,10660.166656,25,377.36
tulip022,three hole punch,5,2,10372.044544,21,422.666666666667
tulip022,fishing reel,6,1,14981.844224,44,286.340909090909
tulip022,fishing reel,6,2,6338.477568,15,373.866666666667
tulip022,crank flashlight,7,1,13253.1776,29,397.689655172414
tulip022,crank flashlight,7,2,9507.711232,25,306.64
tulip022,stethoscope,8,1,12292.788736,25,385.72
tulip022,stethoscope,8,2,10083.933184,25,340.52
tulip022,floppy disk,9,1,16902.588928,28,530.285714285714
tulip022,floppy disk,9,2,10372.055552,16,572.6875
tulip022,shoe horn,10,1,11140.34432,23,417.434782608696
tulip022,shoe horn,10,2,2881.122304,5,439.4
tulip022,french press,11,1,8067.144448,19,355.684210526316
tulip022,french press,11,2,5762.255616,12,424.833333333333
tulip022,blood pressure cuff,12,1,14021.46688,31,395.774193548387
tulip022,blood pressure cuff,12,2,5666.211072,10,525
tulip023,fishing reel,1,1,46962.311168,98,426.34693877551
tulip023,fishing reel,1,2,58774.92224,120,443.425
tulip023,three hole punch,2,1,48018.733312,101,415.316831683168
tulip023,three hole punch,2,2,11428.455424,30,318.033333333333
tulip023,french press,3,1,43312.900352,93,390.118279569892
tulip023,french press,3,2,54741.35552,127,359.685039370079
tulip023,rolodex,4,1,47250.433536,98,425.510204081633
tulip023,rolodex,4,2,33132.922368,75,395.306666666667
tulip023,crank flashlight,5,1,60000,106,504.811320754717
tulip023,crank flashlight,5,2,44849.488896,112,308.732142857143
tulip024,floppy disk,1,1,13925.433344,32,336.90625
tulip024,floppy disk,1,2,11428.466688,19,422.631578947368
tulip024,rolodex,2,1,16134.288896,42,329.785714285714
tulip024,rolodex,2,2,10372.044288,25,344.4
tulip024,blood pressure cuff,3,1,20744.089088,57,286.438596491228
tulip024,shoe horn,4,1,11428.45568,33,288.484848484848
tulip024,pocket radio,5,1,12196.755456,30,322.266666666667
tulip024,bulb planter,6,1,27562.74432,69,165.579710144928
tulip024,bulb planter,6,2,13829.3888,37,233.243243243243
tulip024,hand mixer,7,1,18631.26656,50,257.88
tulip024,crank flashlight,8,1,24681.622272,72,224.458333333333
tulip024,fishing reel,9,1,39567.433472,110,287.454545454545
tulip024,stethoscope,10,1,26218.233344,66,308.106060606061
tulip024,french press,11,1,19495.599872,49,309.326530612245
tulip024,three hole punch,12,1,20359.944448,53,269.735849056604
